,SuccessRate (Mean±CI),SuccessRate (Mean±CI),P95 (Mean±CI),P95 (Mean±CI),P99 (Mean±CI),P99 (Mean±CI)
Scenario,S1: Public Internet,S2: Private APN (Atheer) [Network-APN],S1: Public Internet,S2: Private APN (Atheer) [Network-APN],S1: Public Internet,S2: Private APN (Atheer) [Network-APN]
Load_TPS,,,,,,
1,100.00 ± 0.00,100.00 ± 0.00,1.955 ± 0.183,0.229 ± 0.005,2.236 ± 0.230,0.247 ± 0.008
5,99.80 ± 0.26,100.00 ± 0.00,2.093 ± 0.168,0.228 ± 0.003,2.893 ± 0.276,0.248 ± 0.008
10,99.87 ± 0.19,100.00 ± 0.00,2.106 ± 0.113,0.229 ± 0.002,2.870 ± 0.054,0.249 ± 0.004
20,98.01 ± 0.19,100.00 ± 0.00,4.756 ± 0.109,0.228 ± 0.001,6.377 ± 0.218,0.251 ± 0.002
30,91.57 ± 0.69,100.00 ± 0.00,7.735 ± 0.165,0.228 ± 0.001,10.355 ± 0.347,0.250 ± 0.004
40,91.30 ± 0.27,100.00 ± 0.00,9.968 ± 0.188,0.228 ± 0.001,12.813 ± 0.126,0.250 ± 0.002
50,90.07 ± 0.20,100.00 ± 0.00,11.696 ± 0.259,0.228 ± 0.000,13.815 ± 0.132,0.249 ± 0.002
