Scenario,FAILED_DOWNLINK_NETWORK,FAILED_E2E_TIMEOUT,FAILED_UPLINK_NETWORK,NONE
S1: Public Internet,2.934083601286174,2.9608788853161845,4.032690246516613,90.07234726688102
S2: Private APN (Atheer) [Network-APN],0.0,0.0,0.0,100.0
