Scenario,FAILED_DOWNLINK_NETWORK,FAILED_E2E_TIMEOUT,FAILED_UPLINK_NETWORK,NONE
S1: Public Internet,0.7425775978407557,38.15924426450742,3.0647773279352224,58.033400809716596
S2: Private APN (Atheer),0.0003330801923871191,0.0,0.0,99.99966691980762
