Scenario,Load_TPS,SR_mean,SR_std,P95_mean,P95_std,P99_mean,P99_std,N,SR_CI_L,SR_CI_U,P95_CI_L,P95_CI_U,P99_CI_L,P99_CI_U,SuccessRate (Mean±CI),P95 (Mean±CI),P99 (Mean±CI)
S1: Public Internet,5,99.83089574785076,0.28613722829077737,2.0556539450783387,0.066980888230346,2.8068665602990817,0.15904630334497868,10,99.65354605635655,100.00824543934498,2.014138760442563,2.097169129714114,2.7082886401870447,2.9054444804111186,99.83 ± 0.18,2.056 ± 0.042,2.807 ± 0.099
S1: Public Internet,25,99.78020052405067,0.122478994160024,2.0920370369520684,0.07557196867027173,2.9216826590324336,0.10347817082845255,10,99.70428725698453,99.85611379111681,2.045197045492923,2.1388770284112137,2.857546224278957,2.9858190937859104,99.78 ± 0.08,2.092 ± 0.047,2.922 ± 0.064
S1: Public Internet,50,96.77377185439971,0.23994827067690216,4.969306983780677,0.0656249497881965,6.630600009620224,0.2406286587849098,10,96.62505037543202,96.9224933333674,4.928632218498359,5.0099817490629945,6.4814568217341515,6.7797431975062965,96.77 ± 0.15,4.969 ± 0.041,6.631 ± 0.149
S1: Public Internet,100,91.37125965421862,0.4104848942405687,10.06318307081828,0.09895043317320093,12.758870737871478,0.14131411030681446,10,91.11683848088349,91.62568082755375,10.00185295693791,10.12451318469865,12.671283344869876,12.84645813087308,91.37 ± 0.25,10.063 ± 0.061,12.759 ± 0.088
S1: Public Internet,250,69.72308431208008,0.2622307255395586,14.01358596551636,0.042617863962090934,14.79257611091818,0.02282130577941728,10,69.5605520245041,69.88561659965605,13.987171139766602,14.040000791266117,14.778431319051524,14.806720902784836,69.72 ± 0.16,14.014 ± 0.026,14.793 ± 0.014
S1: Public Internet,500,36.63444319682759,0.2958635656486888,14.489301784356334,0.03246487724206306,14.894692163353142,0.01064792440929745,10,36.4510650589823,36.81782133467288,14.469179844971968,14.5094237237407,14.888092511429752,14.901291815276531,36.63 ± 0.18,14.489 ± 0.020,14.895 ± 0.007
S2: Private APN (Atheer),5,99.71231889108077,0.3067484213796224,0.24537585159011788,0.0034282805959725583,0.26224295051708335,0.005514829370336836,10,99.52219424975752,99.90244353240402,0.24325098126239705,0.2475007219178387,0.25882482386046185,0.26566107717370485,99.71 ± 0.19,0.245 ± 0.002,0.262 ± 0.003
S2: Private APN (Atheer),25,99.78572876454845,0.1618513065688478,0.24389114503883835,0.00092038110394266,0.26426990081798885,0.0029092638182768166,10,99.68541228542624,99.88604524367067,0.24332068692048592,0.2444616031571908,0.26246672042189456,0.26607308121408313,99.79 ± 0.10,0.244 ± 0.001,0.264 ± 0.002
S2: Private APN (Atheer),50,99.75554866360503,0.05774034096072874,0.24474317664118841,0.0010733570658938954,0.26445961044845084,0.0020277330988547663,10,99.71976082950414,99.79133649770591,0.24407790303929983,0.245408450243077,0.26320280845290955,0.26571641244399213,99.76 ± 0.04,0.245 ± 0.001,0.264 ± 0.001
S2: Private APN (Atheer),100,99.84254743801212,0.0422056522399479,0.24498276233094057,0.0008725306238379934,0.2646152619422061,0.001098959436736568,10,99.81638810373472,99.86870677228951,0.24444196224742373,0.2455235624144574,0.2639341198264663,0.26529640405794586,99.84 ± 0.03,0.245 ± 0.001,0.265 ± 0.001
S2: Private APN (Atheer),250,99.80235372614753,0.03550815931665967,0.24491589120151952,0.00042813674215148455,0.2650006840503897,0.0005223797919564796,10,99.78034554099122,99.82436191130384,0.24465052929949974,0.2451812531035393,0.2646769097009291,0.26532445839985025,99.80 ± 0.02,0.245 ± 0.000,0.265 ± 0.000
S2: Private APN (Atheer),500,99.78977333897221,0.023937276621180364,0.24460937814833184,0.0003175348915474221,0.26473173589119564,0.0006881510905026309,10,99.77493686121174,99.80460981673268,0.24441256798353442,0.24480618831312925,0.2643052154264135,0.2651582563559778,99.79 ± 0.01,0.245 ± 0.000,0.265 ± 0.000
