,SuccessRate (Mean±CI),SuccessRate (Mean±CI),P95 (Mean±CI),P95 (Mean±CI),P99 (Mean±CI),P99 (Mean±CI)
Scenario,S1: Public Internet,S2: Private APN (Atheer),S1: Public Internet,S2: Private APN (Atheer),S1: Public Internet,S2: Private APN (Atheer)
Load_TPS,,,,,,
5,100.00 ± 0.00,100.00 ± 0.00,0.970 ± 0.029,0.256 ± 0.002,1.367 ± 0.113,0.275 ± 0.007
25,99.98 ± 0.02,100.00 ± 0.00,0.963 ± 0.021,0.254 ± 0.001,1.336 ± 0.043,0.275 ± 0.002
50,99.61 ± 0.08,100.00 ± 0.00,2.023 ± 0.027,0.256 ± 0.001,2.873 ± 0.027,0.276 ± 0.001
100,95.92 ± 0.15,100.00 ± 0.00,4.850 ± 0.054,0.255 ± 0.000,6.607 ± 0.078,0.278 ± 0.001
250,80.09 ± 0.23,100.00 ± 0.00,12.315 ± 0.040,0.255 ± 0.000,14.280 ± 0.027,0.276 ± 0.001
500,58.03 ± 0.15,100.00 ± 0.00,14.149 ± 0.013,0.255 ± 0.000,14.819 ± 0.010,0.277 ± 0.000
